PassengerId,Survived_pred,Probability
892,0,0.11014918048184405
893,0,0.4252400661952793
894,0,0.12219601483156214
895,0,0.10227167004395867
896,1,0.5009255613953199
897,0,0.13624425111408134
898,1,0.6195855090824981
899,0,0.22594685018127578
900,1,0.6586322227715833
901,0,0.0923896011400762
902,0,0.0991950794287758
903,0,0.17827695081858674
904,1,0.9216246331180095
905,0,0.1484938680362285
906,1,0.9490722895706227
907,1,0.907812752498919
908,0,0.09994926426968785
909,0,0.21131792584706308
910,0,0.41753761277875556
911,1,0.5550826798824368
912,0,0.43778194798921105
913,0,0.4051483158373695
914,1,0.9263492248165076
915,0,0.3673876089435464
916,1,0.9020228032720111
917,0,0.11970214179716158
918,1,0.961198481998628
919,0,0.21131792584706308
920,0,0.3646651821518388
921,0,0.21561325746676277
922,0,0.1355438066081485
923,0,0.20422792940778947
924,0,0.46318492509402753
925,0,0.4014878742127368
926,0,0.4524884551205341
927,0,0.20548332088626528
928,0,0.42013399561186354
929,0,0.40254445679470197
930,0,0.10802715691551411
931,0,0.35699497419935633
932,0,0.23998125771308462
933,0,0.3247440502928569
934,0,0.1068147777902525
935,1,0.8797592639399077
936,1,0.9469170017526842
937,0,0.10333259044950806
938,0,0.39342047253864076
939,0,0.08423632521929517
940,1,0.9185941110528012
941,1,0.5170401731335292
942,0,0.3426003704513553
943,0,0.17243220466660486
944,1,0.8545249319061754
945,1,0.8540484452854212
946,0,0.1506383342039562
947,0,0.0949673865523638
948,0,0.10391628154965098
949,0,0.0994613571248006
950,0,0.11802352745206222
951,1,0.9671466741561646
952,0,0.11178654698870268
953,0,0.12775411491885807
954,0,0.1075844626943629
955,1,0.7107026585980869
956,0,0.45306545172710605
957,1,0.8922752017087009
958,1,0.6725348651770083
959,0,0.30488046073242575
960,0,0.3442718350411744
961,1,0.685399134408711
962,1,0.7195108407622367
963,0,0.10166335025592253
964,0,0.42491610336897123
965,0,0.3310648081720425
966,1,0.9671466741561646
967,0,0.3764985435607735
968,0,0.10118821584563087
969,1,0.8863381376019798
970,0,0.11807401093109832
971,1,0.7195108407622367
972,1,0.5867105509449726
973,0,0.2792010349806435
974,0,0.17827695081858674
975,0,0.0991950794287758
976,0,0.08311380680498032
977,0,0.21708847186397123
978,1,0.7318786351234273
979,0,0.40818223977674717
980,1,0.7350532382980305
981,1,0.7401469484025411
982,0,0.4805041503908155
983,0,0.1031978235540982
984,1,0.8945201298441183
985,0,0.10118821584563087
986,0,0.3079012817746827
987,0,0.10467567717895443
988,1,0.912233967089726
989,0,0.10905167133561448
990,0,0.4331573672636395
991,0,0.10512097144035462
992,1,0.976240190357595
993,0,0.13795844831598192
994,0,0.08423632521929517
995,0,0.10627067107072899
996,1,0.6121928266177835
997,0,0.11697016467598392
998,0,0.09434377247264754
999,0,0.08423632521929517
1000,0,0.09919882252732791
1001,0,0.11713948321177618
1002,0,0.16921405906565112
1003,1,0.7361643494091417
1004,1,0.8919853356734593
1005,1,0.5946761558869504
1006,1,0.9026154766456759
1007,0,0.25963627022277647
1008,0,0.13524997401210612
1009,1,0.6224289090786452
1010,0,0.393122982864752
1011,1,0.9122157018802991
1012,1,0.8613290961055644
1013,0,0.08360463052558131
1014,1,0.9810967112883694
1015,0,0.09521634312408836
1016,0,0.08423632521929517
1017,1,0.5557674015988443
1018,0,0.10566609438124497
1019,1,0.7200471999482074
1020,0,0.12325477800571663
1021,0,0.10266606947048708
1022,0,0.11240573577989176
1023,0,0.33591707109552615
1024,0,0.21481680190626962
1025,0,0.16077713799693324
1026,0,0.10617818631155576
1027,0,0.10130952453232876
1028,0,0.16556320269123334
1029,0,0.11286370743617846
1030,0,0.40705416108292125
1031,0,0.16385718569426072
1032,0,0.28406578784791586
1033,1,0.9319556526758794
1034,0,0.3418964700039261
1035,0,0.13222452973193433
1036,0,0.3112722547694989
1037,0,0.0980920352660193
1038,0,0.3274297504400412
1039,0,0.1036564866727776
1040,0,0.3247440502928569
1041,0,0.18419704402599563
1042,1,0.9632880342374339
1043,0,0.15982953724467308
1044,0,0.10972307612982457
1045,1,0.5193136174414457
1046,0,0.128453283838949
1047,0,0.0994613571248006
1048,1,0.946053830844315
1049,0,0.4405769076174326
1050,0,0.3112722547694989
1051,1,0.5481616932179243
1052,1,0.734001303285252
1053,1,0.5232268406675995
